location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground
Серпухов,6,6,1,20.7,2350000,1917,Вторичка,-1,Наземная,-1,-1,-1,18 м²,1 м²,3 м,Серпухов, Крюкова,
Серпухов,1,9,1,33.0,4150000,1975,Вторичка,-1,-1,-1,-1,-1,18 м²,6 м²,"2,7 м",, Ворошилова,Аннино
Серпухов,4,4,1,14.0,1700000,-1,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Красный Текстильщик мкр, Красный Текстильщик,
Серпухов,5,5,1,17.5,2500000,1968,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Серпухов,Российская ,
Серпухов,4,7,1,25.9,3000000,2009,Вторичка,-1,Наземная,-1,-1,-1,20 м²,5 м²,"3,5 м",Серпухов, Химиков,
Серпухов,2,3,1,46.7,6599999,-1,Вторичка,-1,-1,-1,-1,-1,25 м²,6 м²,-1,Серпухов, 2-я Московская,
Серпухов,3,5,1,29.0,3350000,1917,Вторичка,-1,Наземная,-1,-1,-1,25 м²,-1,3 м,Серпухов, Форсса,
Серпухов,3,6,1,19.1,3600000,1917,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Серпухов, Крюкова,
Серпухов,1,2,1,27.1,1900000,1969,Вторичка,-1,Наземная,-1,-1,-1,18 м²,6 м²,"2,5 м",,,
Серпухов,6,9,2,42.7,3990000,1980,Вторичка,1 лоджия,Наземная,-1,-1,-1,"29,7 м²","5,6 м²","2,7 м",Серпухов,Весенняя ,
Серпухов,1,5,2,42.8,2999000,1990,Вторичка,1 балкон,Наземная,-1,-1,-1,"24,9 м²",6 м²,"2,5 м",пос. Чехов-8, Южная,
Серпухов,3,4,-1,47.0,1980000,1964,Вторичка,1 балкон,Наземная,-1,-1,-1,-1,16 м²,"2,9 м",,Художественный проезд,Силикатная
Серпухов,15,17,1,20.55,2600000,2025,Новостройка,1 лоджия,Наземная,-1,-1,Без отделки,"13,4 м²",3 м²,-1,мкр. Востряково, Ледовская,
Серпухов,1,3,1,25.3,2500000,2015,Вторичка,1 лоджия,-1,-1,-1,-1,"14,1 м²","6,2 м²","2,8 м",д. Ворщиково, Солнечный Град,
Серпухов,2,3,1,36.0,2790000,-1,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Чехов,Русская ,
Серпухов,1,3,1,22.4,2600000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,-1,-1,-1,Чехов,Русская ,
Серпухов,2,3,2,42.0,3200000,-1,Вторичка,-1,Наземная,-1,-1,-1,28 м²,6 м²,-1,,,
Серпухов,2,4,1,41.4,2800000,1975,Вторичка,1 балкон,Наземная,-1,-1,-1,20 м²,7 м²,-1,,,
Серпухов,2,2,1,31.3,2700000,1970,Вторичка,-1,Наземная,-1,-1,-1,-1,5 м²,-1,д. Рыбаки, Садовая,
Серпухов,5,5,1,31.0,3090000,1984,Вторичка,1 балкон,Наземная,-1,-1,-1,15 м²,"7,3 м²",-1,с. Ильинское, Бригадная,
Серпухов,1,2,1,32.1,2600000,1965,Вторичка,-1,Наземная,-1,-1,-1,-1,"6,1 м²","2,5 м",д. Дубнево, Новые Дома,
Серпухов,2,5,2,47.5,2600000,-1,Вторичка,1 балкон,Наземная,-1,-1,-1,28 м²,6 м²,"2,4 м",,,
Серпухов,2,3,1,27.0,2500000,-1,Вторичка,-1,-1,-1,-1,-1,19 м²,3 м²,"2,5 м",Красный Текстильщик мкр, Красный Текстильщик,
Серпухов,6,6,1,38.9,2800000,2010,Вторичка,1 лоджия,-1,-1,-1,-1,16 м²,10 м²,"2,8 м",д. Городище, Молодежная,
Серпухов,2,5,1,29.0,3100000,1964,Вторичка,-1,-1,-1,-1,-1,19 м²,6 м²,"2,5 м",Серпухов,переулок 1-й Оборонный,
Серпухов,1,2,3,141.9,3081000,Аукцион,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Серпухов,Калужская ,
Серпухов,8,10,3,64.0,7450000,1992,Вторичка,1 лоджия,Наземная,-1,-1,-1,-1,9 м²,"2,8 м",Серпухов,Звездная ,
Серпухов,8,9,3,60.0,6600000,1975,Вторичка,1 лоджия,-1,-1,-1,-1,40 м²,9 м²,"2,6 м",Серпухов, Ворошилова,
Серпухов,3,10,3,62.1,7300000,1992,Вторичка,1 балкон,-1,-1,-1,-1,45 м²,9 м²,"2,8 м",Серпухов,Звездная ,
Серпухов,3,5,3,67.2,7999000,-1,Вторичка,3 лоджии,Наземная,-1,-1,-1,50 м²,10 м²,-1,Серпухов, Ивана Болотникова,
Серпухов,7,24,3,77.6,12700000,2011,Вторичка / Апартаменты,1 балкон,-1,-1,-1,-1,-1,5 м²,-1,Серпухов,Борисовское шоссе,
Серпухов,6,9,3,62.0,7350000,1986,Вторичка,1 лоджия,-1,-1,-1,-1,44 м²,8 м²,"2,65 м",Серпухов, Пушкина,
Серпухов,5,10,3,63.0,7600000,1994,Вторичка,1 лоджия,-1,-1,-1,-1,-1,8 м²,-1,Серпухов,Новая ,
Серпухов,1,5,3,57.9,5750000,1969,Вторичка,-1,-1,-1,-1,-1,-1,5 м²,-1,Серпухов,Центральная ,
Серпухов,1,2,3,56.0,5490000,1956,Вторичка,-1,Наземная,-1,-1,-1,40 м²,6 м²,"2,8 м",Серпухов, Захаркина,
Серпухов,7,10,3,65.0,8800000,-1,Вторичка,-1,-1,-1,-1,-1,-1,-1,-1,Серпухов,Весенняя ,
Серпухов,2,5,3,54.0,5400000,1966,Вторичка,-1,-1,-1,-1,-1,39 м²,6 м²,-1,Серпухов, Лермонтова,
Серпухов,1,5,3,67.0,8300000,1973,Вторичка,1 лоджия,Наземная,-1,-1,-1,41 м²,9 м²,"2,5 м",Серпухов, Космонавтов,
Серпухов,4,5,2,45.5,5380000,1971,Вторичка,1 балкон,Наземная,-1,-1,-1,"32,5 м²",6 м²,"2,6 м",Серпухов,Советская ,
Серпухов,1,1,2,46.0,3650000,1957,Вторичка,-1,Наземная,-1,-1,-1,-1,6 м²,-1,Серпухов, Водников,
Серпухов,7,9,2,42.9,4500000,1971,Вторичка,1 балкон,Наземная,-1,-1,-1,"27,4 м²","5,7 м²","2,5 м",Серпухов, Дзержинского,
Серпухов,2,14,2,38.4,6700000,2013,Вторичка,2 лоджии,Наземная,-1,-1,-1,17 м²,11 м²,-1,Серпухов, Ворошилова,
Серпухов,1,9,2,48.0,4200000,1981,Вторичка,-1,-1,-1,-1,-1,-1,11 м²,-1,Серпухов,проезд Мишина,
Серпухов,2,2,2,71.3,6700000,-1,Вторичка,1 лоджия,-1,-1,-1,-1,28 м²,8 м²,-1,Серпухов,Советская ,
Серпухов,2,5,2,47.0,4999999,1972,Вторичка,1 лоджия,-1,-1,-1,-1,33 м²,"7,5 м²","2,7 м",Серпухов, Ворошилова,
Серпухов,4,14,2,64.0,9200000,-1,Вторичка,1 лоджия,Наземная,-1,-1,-1,39 м²,"13,5 м²","2,7 м",Серпухов,Стадионная ,
