location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,have_loggia,parking_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,ceiling_height,district,street,underground,floor_ismissing,floors_count_ismissing,rooms_count_ismissing,total_meters_ismissing,price_ismissing,year_of_construction_ismissing,location_ismissing,object_type_ismissing,have_loggia_ismissing,parking_type_ismissing,house_material_type_ismissing,heating_type_ismissing,finish_type_ismissing,living_meters_ismissing,kitchen_meters_ismissing,ceiling_height_ismissing,district_ismissing,street_ismissing,underground_ismissing
Серпухов,6,6,1,20.7,2350000,1917,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,1 м²,3 м,Серпухов, Крюкова,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Серпухов,1,9,1,33.0,4150000,1975,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Дмитров, Ворошилова,Аннино,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False
Серпухов,4,4,1,14.0,1700000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Красный Текстильщик мкр, Красный Текстильщик,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,False,True
Серпухов,5,5,1,17.5,2500000,1968,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Серпухов,Российская ,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True
Серпухов,4,7,1,25.9,3000000,2009,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,20 м²,5 м²,"3,5 м",Серпухов, Химиков,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True
Серпухов,2,3,1,46.7,6599999,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,25 м²,6 м²,"2,7 м",Серпухов, 2-я Московская,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True
Серпухов,3,5,1,29.0,3350000,1917,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,25 м²,6 м²,3 м,Серпухов, Форсса,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True
Серпухов,3,6,1,19.1,3600000,1917,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Серпухов, Крюкова,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True
Серпухов,1,2,1,27.1,1900000,1969,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,5 м",Дмитров,Советская ,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,True,True
Серпухов,6,9,2,42.7,3990000,1980,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"29,7 м²","5,6 м²","2,7 м",Серпухов,Весенняя ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Серпухов,1,5,2,42.8,2999000,1990,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"24,9 м²",6 м²,"2,5 м",пос. Чехов-8, Южная,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
Серпухов,3,4,2,47.0,1980000,1964,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,16 м²,"2,9 м",Дмитров,Художественный проезд,Силикатная,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False
Серпухов,15,17,1,20.55,2600000,2025,Новостройка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"13,4 м²",3 м²,"2,7 м",мкр. Востряково, Ледовская,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
Серпухов,1,3,1,25.3,2500000,2015,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,"14,1 м²","6,2 м²","2,8 м",д. Ворщиково, Солнечный Град,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
Серпухов,2,3,1,36.0,2790000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Чехов,Русская ,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,False,True
Серпухов,1,3,1,22.4,2600000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Чехов,Русская ,Щёлковская,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,False,False,True
Серпухов,2,3,2,42.0,3200000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,28 м²,6 м²,"2,7 м",Дмитров,Советская ,Щёлковская,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,True,True,True
Серпухов,2,4,1,41.4,2800000,1975,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,20 м²,7 м²,"2,7 м",Дмитров,Советская ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True
Серпухов,2,2,1,31.3,2700000,1970,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,5 м²,"2,7 м",д. Рыбаки, Садовая,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True
Серпухов,5,5,1,31.0,3090000,1984,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,15 м²,"7,3 м²","2,7 м",с. Ильинское, Бригадная,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True
Серпухов,1,2,1,32.1,2600000,1965,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,"6,1 м²","2,5 м",д. Дубнево, Новые Дома,Щёлковская,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,True
Серпухов,2,5,2,47.5,2600000,2016,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,28 м²,6 м²,"2,4 м",Дмитров,Советская ,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True
Серпухов,2,3,1,27.0,2500000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,19 м²,3 м²,"2,5 м",Красный Текстильщик мкр, Красный Текстильщик,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,True
Серпухов,6,6,1,38.9,2800000,2010,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,16 м²,10 м²,"2,8 м",д. Городище, Молодежная,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
Серпухов,2,5,1,29.0,3100000,1964,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,19 м²,6 м²,"2,5 м",Серпухов,переулок 1-й Оборонный,Щёлковская,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,True
Серпухов,1,2,3,141.9,3081000,2016,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,6 м²,"2,7 м",Серпухов,Калужская ,Щёлковская,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,False,True
Серпухов,8,10,3,64.0,7450000,1992,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,9 м²,"2,8 м",Серпухов,Звездная ,Щёлковская,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True
Серпухов,8,9,3,60.0,6600000,1975,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,40 м²,9 м²,"2,6 м",Серпухов, Ворошилова,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
Серпухов,3,10,3,62.1,7300000,1992,Вторичка,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,45 м²,9 м²,"2,8 м",Серпухов,Звездная ,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
Серпухов,3,5,3,67.2,7999000,2016,Вторичка,3 лоджии,Наземная,Монолитно-кирпичный,heating_type,Без отделки,50 м²,10 м²,"2,7 м",Серпухов, Ивана Болотникова,Щёлковская,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,True
Серпухов,7,24,3,77.6,12700000,2011,Вторичка / Апартаменты,1 балкон,Наземная,Монолитно-кирпичный,heating_type,Без отделки,18 м²,5 м²,"2,7 м",Серпухов,Борисовское шоссе,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,True
Серпухов,6,9,3,62.0,7350000,1986,Вторичка,1 лоджия,Наземная,Монолитно-кирпичный,heating_type,Без отделки,44 м²,8 м²,"2,65 м",Серпухов, Пушкина,Щёлковская,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True
